platform,review,rating,engagement,date,review_length,clean_review,sentiment,intensity_score
Gojek,"nyaman, cepat waktu penjemputan, tanggung jawab",5,0,2026-02-15 14:49:52,47,nyaman cepat jemput tanggung,Positive,0
Gojek,"di kasih bintang 5 trus, makin lama nyantol nya, di kasih 1 marah"" mau nya apa si",1,0,2026-02-15 14:46:55,81,kasih bintang trus nyantol nya kasih marah nya si,Negative,0
Gojek,"gangguan di saat yang tidak tepat, always !",1,1,2026-02-15 14:40:30,43,ganggu always,Negative,0
Gojek,lebih profesional lagi dalam pelayanan,4,0,2026-02-15 14:36:20,38,profesional layan,Positive,0
Gojek,baru pertama kali ini mengunakan aplikasi ini sangat memuaskan,5,0,2026-02-15 14:20:05,62,kali mengunakan aplikasi muas,Positive,0
Gojek,"go ,gunakan gojek",5,0,2026-02-15 14:15:50,17,go gojek,Positive,0
Gojek,mantab paman,5,0,2026-02-15 14:12:43,12,mantab paman,Positive,0
Gojek,good,5,0,2026-02-15 14:04:02,4,good,Positive,0
Gojek,sangat membantu sekali,5,0,2026-02-15 14:04:02,22,bantu,Positive,0
Gojek,menyenangkan,5,0,2026-02-15 13:51:52,12,senang,Positive,0
Gojek,bgus,5,0,2026-02-15 13:49:16,4,bgus,Positive,0
Gojek,"sebenernya apk ini udh lumayan oke, tapi tolonglah di bagian alamatnya disesuai-in, masa titik alamat udh bener tp nama alamatnya salah, kan bikin bingung. jadinya ribet buat customer sm kurir/ojek (udh sering salah paham krn alamatnya ga sesuai), titik alamat yg udh tersimpan jg tiba-tiba berubah sendiri pdhl gak diedit, udh gitu tolong dibagian kolom buat ngisi nama alamatnya dibikin supaya bisa ngetik lebih banyak kata biar bisa ngetik alamat lengkap yg betul, kaya di aplikasi sebelah.",3,0,2026-02-15 13:46:15,493,sebenernya apk udh lumayan oke tolong alamat disesuaiin titik alamat udh bener tp nama alamat salah bikin bingung ribet customer sm kurirojek udh salah paham krn alamat ga sesuai titik alamat yg udh simpan jg tibatiba ubah pdhl gak edit udh gitu tolong bagi kolom ngisi nama alamat bikin ngetik biar ngetik alamat lengkap yg kaya aplikasi belah,Neutral,2
