platform,review,rating,engagement,date
Gojek,"nyaman, cepat waktu penjemputan, tanggung jawab",5,0,2026-02-15 14:49:52
Gojek,"di kasih bintang 5 trus, makin lama nyantol nya, di kasih 1 marah"" mau nya apa si",1,0,2026-02-15 14:46:55
Gojek,"gangguan di saat yang tidak tepat, always !",1,1,2026-02-15 14:40:30
Gojek,lebih profesional lagi dalam pelayanan,4,0,2026-02-15 14:36:20
Gojek,baru pertama kali ini mengunakan aplikasi ini sangat memuaskan,5,0,2026-02-15 14:20:05
Gojek,"go ,gunakan gojek",5,0,2026-02-15 14:15:50
Gojek,mantab paman,5,0,2026-02-15 14:12:43
Gojek,good,5,0,2026-02-15 14:04:02
Gojek,sangat membantu sekali,5,0,2026-02-15 14:04:02
Gojek,menyenangkan,5,0,2026-02-15 13:51:52
Gojek,bgus,5,0,2026-02-15 13:49:16
Gojek,"sebenernya apk ini udh lumayan oke, tapi tolonglah di bagian alamatnya disesuai-in, masa titik alamat udh bener tp nama alamatnya salah, kan bikin bingung. jadinya ribet buat customer sm kurir/ojek (udh sering salah paham krn alamatnya ga sesuai), titik alamat yg udh tersimpan jg tiba-tiba berubah sendiri pdhl gak diedit, udh gitu tolong dibagian kolom buat ngisi nama alamatnya dibikin supaya bisa ngetik lebih banyak kata biar bisa ngetik alamat lengkap yg betul, kaya di aplikasi sebelah.",3,0,2026-02-15 13:46:15
Gojek,"aku mau cerita pengalaman aku selama pakai aplikasi kamu, aku pakai gojek pasti kena driver yang kurang ajar (driver mobil) mereka ga mau CANCEL ORDERAN JADI SENGAJA DIEM DI SATU TITIK LAMAAAA, maksa kita sebagai pengguna buat cancel, AKU SAMPAI KENA SUSPEN TAHU AKUN NYA, berkali-kali di giniin driver gojek, kalo aku keras Kepala bakalan aku tungguin ampe dia nyerah, tapi kan aku buru-buru mau kesuatu tempat, ada lagi yang kurang ajar kalo kita make hemat, tolong kasih solusi :(",1,0,2026-02-15 13:41:57
Gojek,ribet mau pesen ojek bukan mau pinjem duit pake peripikasi wajah mana gagal Mulu gatau knapah,1,0,2026-02-15 13:38:10
Gojek,orang nya ramah,5,0,2026-02-15 13:29:14
Gojek,good application,5,0,2026-02-15 13:28:02
Gojek,kecewa sama para driver kalau hujan gak mau ambil orderan. 2kali di cancel padahal saya pakai yg tercepat. dan saya pesan juga gak cuma2 pasti saya kasih fee. kecewa,3,0,2026-02-15 13:24:18
Gojek,terlalu lambat...udah 2jam pesan makanan belum juga datang.......,1,0,2026-02-15 13:23:02
Gojek,"barusan beli gojek plus, tapi malah gak dapat driver, NUNGGU 2 JAM, SAMPE 2 KALI ORDER GAK DAPAT DRIVER, gajelas bgt fitur driver pilih2 orderan, padahal mau makan udah pake gopay jg, aneh bgt",1,1,2026-02-15 13:13:24
Gojek,Saya mau daftar jadi Driver gojek tapi nggak tau caranya. saya berdomisili di Pekan baru,5,0,2026-02-15 13:11:04
Gojek,susah driver,1,0,2026-02-15 12:59:29
Gojek,aplikasi gak jelas kuota internet ada sinyal bagus tapi malah gak bisa masuk ke beranda,1,0,2026-02-15 12:57:10
Gojek,bertahun tahun menggunakan gojek tapi dikecewakan dengan gofood hampir satu jam ga dpt driver padahal bayar mahal dan pilih prioritas/ekspres bukan ongkir reguler. KECEWA..,1,0,2026-02-15 12:53:41
Gojek,"tolong la, kalau cari driver itu yanh dekat, ini dirver nya juga ga jelas muter2",1,0,2026-02-15 12:46:08
Gojek,"baru pertama kali gua diginiin padahal pakai aplikasi ini sudah beberapa tahun. gua pesen gocar di spbu shell dket mall alam sutera di cancel 7x, trus pesen gojek ga ada yg pick up sama sekali. cukup kecewa sih dengan layanannya ini",1,0,2026-02-15 12:44:53
Gojek,tolong jangan adain cancel buat driver..bikin susah pelanggan.masa di lokasi terdekat ada 5 driver ga ada yg nyahut..juga ongkos hemat hapus aja.males denger driver ngeluh.trims,2,0,2026-02-15 12:41:37
Gojek,"lama banget nyari pengemudi nya, ga dapet dapet padahal saya di wilayah bandung yang ramai banget penduduknya, 👎🏻",1,0,2026-02-15 12:27:48
Gojek,"skrg susah bgt dpt driver .. pdhal dititik apk bnyk driver dn yg kedua hr ini pesen gofood ga dpt driver dicancel juga ga bs .. disrh nggu sejam baru bs di cancel , kepusat bantuan juga sama aja ga mmbantu sm skli .. sdgkn mau chat restonya juga ga bisa .. mmg agak lain skrg gojek nie .. malas bgt pke apk ini lagi",1,0,2026-02-15 12:26:54
Gojek,Masih masalah yang sama: gofoodnya susah di saat malam hari terutama setelah hujan. Terlalu sibuk? Kurang banyak gojeknya. Tambahkan personal atau entah gimana caranya biar gak php pelanggan. Masa cuma bisa nyari makan pagi-sore aja? Apalagi bentar lagi ramadhan. Hoki-hokian banget.,2,31,2026-02-15 12:13:03
Gojek,gofood nya lama suka delay,1,0,2026-02-15 12:08:45
Gojek,"harga sering berubah tiba-tiba, awalnya murah, setelah 5 menit kemudian harga narik 5-10rb. dan juga claim 15rb gratis voucher karena telat datangnya nggak bisa. aplikasi sering scam kayak pemerintah",1,0,2026-02-15 12:03:49
Gojek,"sering di cancel sama driver gocar, kadang udah Nerima orderan tapi gak sampai² tujuan sampai nunggu nya lama, pas ditanya malah dicancel, minimal sih ada kepastian ya tolong dong gojek dibenerin lgi, udh berkali² dicancel trs",2,0,2026-02-15 11:55:34
Gojek,MASIH BANYAK DRIVER YANG TIDAK ADA DD NYA DI BELAKANG,1,0,2026-02-15 11:52:00
Gojek,masih banyak driver yang tidak ada DD nya di belakang.,1,0,2026-02-15 11:46:48
Gojek,ad apa ni gojek kok lemot bgt cari driver,2,0,2026-02-15 11:44:58
Gojek,GO-JEK naik,5,0,2026-02-15 11:36:15
Gojek,menunggu driver sangat lama saya sudah menunggu selama 2 jam lebih dan tidak ada yang datang,1,0,2026-02-15 11:29:59
Gojek,"naik gojek motor aman dan nyaman driver ramah,sehat2 y pak driver",5,0,2026-02-15 11:13:45
Gojek,ok,5,0,2026-02-15 11:09:29
Gojek,"gofood kenapa bermasalah banget.. klo emang susah nyari driver, setelah 10 menit tolong kasih opsi cancel pesanan, masa customer disuruh nunggu SEJAM untuk dapat driver, klo ga dapat baru bisa di cancel. SEJAM NGAPAIN? udah kejadian dua kali, benci banget. tolong evaluasinya mengingat gofood dipakai banyak orang",3,0,2026-02-15 10:57:47
Gojek,sangat puaasss,5,0,2026-02-15 10:56:37
Gojek,mantapp👍👍,5,0,2026-02-15 10:50:34
Gojek,membantu,5,0,2026-02-15 10:49:26
Gojek,walau hujan tetap tanggung jawab utk mengantarnya,5,0,2026-02-15 10:43:52
Gojek,sangat mudah d gunakan ketika mager kemana2,4,0,2026-02-15 10:32:43
Gojek,aman,4,0,2026-02-15 10:31:29
